directorid,name,rate,gross,num
67,"Aalmuhammed, Jefri",7.0,42952,1
92,"Aarniokoski, Douglas",4.3,12801190,1
284,"Abbott, George (I)",6.8,0,1
708,"Abraham, Adam (I)",6.8,33031,1
746,"Abrahams, Jim",26.2,213481148,4
836,"Abramson, Neil",3.0,9247881,1
947,"Abugov, Jeff",6.0,0,1
1151,"Ackerman, Robert Allan",6.1,1607319,1
1756,"Adetuyi, Robert",4.1,1244676,1
1836,"Adler, Gilbert (I)",5.0,5587855,1
1851,"Adler, Lou",6.8,41590893,1
3134,"Akerman, Chantal",5.9,243750,1
3707,"Albacete, Alfonso",5.6,1066832,1
4164,"Aldrich, Robert (I)",22.8,54300000,3
4451,"Alexander, Scott (I)",5.3,7027345,1
4621,"Algar, James",22.3,384237941,3
4637,"Algrant, Daniel",5.6,1038959,1
4930,"Allcroft, Britt",2.9,15911333,1
4997,"Allen, Corey (I)",4.1,0,1
5049,"Allen, Irwin (I)",17.2,264850,3
5088,"Allen, Kevin (I)",12.4,259765,2
5185,"Allen, Woody",145.4,283179015,20
5201,"Allers, Roger",8.4,945578747,1
5308,"Allouache, Merzak",6.2,0,1
5425,"Almereyda, Michael",11.6,2015683,2
5442,"Almodóvar, Pedro",42.8,24322117,6
5763,"Altieri, Kevin",7.6,5588699,1
5798,"Altman, Robert (I)",80.5,181768600,12
6057,"Alves, Joe (I)",3.5,87987055,1
6301,"Amateau, Rod",2.7,1576615,1
6429,"Amelio, Gianni",7.4,4788331,1
6458,"Amenábar, Alejandro",7.8,368234,1
6523,"Amiel, Jon",24.8,398358068,4
6981,"Anders, Allison",24.8,8366223,4
7117,"Anderson, Brad (II)",6.5,3386698,1
7212,"Anderson, J. Todd",5.2,0,1
7309,"Anderson, Lindsay (I)",7.6,0,1
7335,"Anderson, Michael (I)",6.8,25000000,1
7365,"Anderson, Paul Thomas",23.1,91695753,3
7366,"Anderson, Paul W.S.",17.3,169269162,3
7387,"Anderson, Robert (XVII)",0.0,0,1
7456,"Anderson, Wes (I)",14.8,18136932,2
7682,"Andreef, Christina (I)",6.4,11132,1
8157,"Angelo, Yves",6.8,734406,1
8168,"Angelopoulos, Theodoros",7.4,106486,1
8171,"Angelou, Maya",6.7,5662985,1
8343,"Annakin, Ken",14.7,50000000,2
8349,"Annaud, Jean-Jacques",28.2,291055898,4
8468,"Anspaugh, David",20.6,53846745,3
8685,"Antonijevic, Predrag",7.1,12903,1
8702,"Antonioni, Michelangelo",14.4,20000000,2
9131,"Apted, Michael",24.5,429426530,4
9273,"Araki, Gregg",16.6,332376,3
9314,"Aranda, Vicente",5.9,188789,1
9381,"Arau, Alfonso",13.4,71678007,2
9494,"Arbuckle, Roscoe 'Fatty'",6.4,0,1
9510,"Arcand, Denys",6.5,953755,1
9679,"Ardolino, Emile",12.6,445554274,2
9836,"Argento, Dario",6.6,0,1
10177,"Armitage, George",7.3,28014536,1
10238,"Armstrong, Gillian",13.7,51592305,2
10292,"Armstrong, Samuel (I)",22.5,293363371,3
10450,"Arnold, Jack (I)",19.8,1300000,3
10484,"Arnold, Newt",6.5,11806119,1
10582,"Aronofsky, Darren",15.9,10580970,2
10722,"Arrick, Larry",5.0,0,1
10892,"Arteta, Miguel",12.0,1643173,2
11239,"Ashby, Hal",44.2,90177511,6
11282,"Asher, John (I)",5.3,81897,1
11290,"Asher, William (I)",14.3,0,3
11324,"Ashley, Christopher (III)",6.2,3487767,1
11566,"Asquith, Anthony",14.3,0,2
11602,"Assayas, Olivier",6.9,36662,1
12018,"Attenborough, Richard",21.0,93076243,3
12251,"August, Bille",20.1,22359219,3
12394,"Auster, Paul",20.0,9625429,3
12439,"Austin, Michael (I)",5.5,3021629,1
12546,"Avary, Roger",6.4,418953,1
12551,"Avati, Pupi",6.1,89263,1
12677,"Avildsen, John G.",31.7,569194938,5
12720,"Avnet, Jon",25.6,170724941,4
12931,"Aykroyd, Dan",4.4,8479793,1
12945,"Aylott, David (I)",0.0,0,1
13312,"Babayan, Agasi",7.9,0,1
13331,"Babbit, Jamie",6.2,2595216,1
13518,"Bach, Jean (I)",7.4,527274,1
13745,"Badham, John",34.9,196467268,6
13841,"Baer Jr., Max",4.8,0,1
14111,"Baichwal, Jennifer",7.2,9188,1
14131,"Baigelman, Steven (II)",5.3,3102672,1
14198,"Bailey, Fenton",7.0,1025234,1
14380,"Baird, Stuart",12.7,222973170,2
14569,"Baker, Graham (I)",11.5,30787918,2
14624,"Baker, Marvin",3.8,0,1
14663,"Baker, Roy Ward",21.2,0,3
14791,"Bakshi, Ralph",12.7,36471420,2
14824,"Balaban, Bob",4.9,3335984,1
14901,"Balasko, Josiane",6.2,1400000,1
15061,"Baldwin, Craig (I)",6.9,0,1
15089,"Baldwin, Peter (I)",4.8,3999612,1
15282,"Ballard, Carroll",14.1,52075756,2
15635,"Bancroft, Tony",7.3,236918403,1
15640,"Band, Charles",3.0,7000000,1
15661,"Banderas, Antonio",5.9,1954202,1
15725,"Banfield, George J.",0.0,0,1
16085,"Baran, Jack",4.3,1176982,1
16157,"Barba, Norberto",3.8,4932915,1
16200,"Barbato, Randy",7.0,1025234,1
16458,"Barclay, Paris",6.4,39255889,1
16493,"Bardem, Miguel",5.6,1066832,1
16692,"Barker, Clive (I)",12.8,27221489,2
16728,"Barker, Mike (I)",6.1,25651,1
17382,"Barreto, Bruno",18.4,1822608,3
17453,"Barrett, Shirley",6.9,579337,1
17579,"Barron, Steve",16.9,171636259,3
17680,"Barry, John (III)",4.7,0,1
17871,"Bartkowiak, Andrzej",5.9,55973336,1
17976,"Barton, Charles (I)",13.6,0,2
18080,"Barylli, Gabriel",4.3,0,1
18698,"Battersby, Bradley",5.9,64579,1
18859,"Bauer, Tristán",7.9,369018,1
18978,"Baumbach, Noah",13.2,992295,2
19104,"Bava, Mario",40.8,344177,6
19141,"Baxley, Craig R.",4.8,20257000,1
19163,"Baxter, Jack (I)",7.0,42952,1
19189,"Bay, Michael (I)",20.4,1019509788,3
19423,"Beaird, David",5.2,4676892,1
19608,"Beatty, Warren (I)",26.9,225259525,4
19659,"Beaudine, William",7.2,966878,1
19702,"Beaumont, Harry",6.3,4366000,1
19935,"Becker, Harold",18.2,170944636,3
20202,"Beebe Jr., Ford",7.8,25363371,1
20255,"Beeman, Greg",5.1,7919823,1
20504,"Beineix, Jean-Jacques",7.1,108372,1
20525,"Beitel, Garry",6.9,0,1
20577,"Bekolo, Jean-Pierre",6.9,0,1
20742,"Bell, Angelo",6.9,0,1
21219,"Belvaux, Rémy",7.5,205569,1
21249,"Bemberg, María Luisa",13.6,301678,2
21337,"Benabib, Roberto",5.9,0,1
21466,"Bender, Jack",4.6,20560255,1
21529,"Benedek, Laslo",6.5,0,1
21574,"Benegal, Shyam",0.0,0,1
21654,"Benigni, Roberto",15.6,265925264,2
21715,"Benjamin, Mark (I)",7.9,10791,1
21725,"Benjamin, Richard (I)",28.8,205565417,5
21803,"Bennett, Bill (I)",5.0,10700000,1
22000,"Benoit, Nicole (II)",7.4,0,1
22086,"Benson, Michael (II)",8.5,0,1
22188,"Benton, Robert (I)",33.6,193871012,5
22397,"Beresford, Bruce",57.6,364854433,9
22477,"Berg, Peter (I)",6.2,9801782,1
22622,"Bergeron, Bibo",6.6,50802661,1
22694,"Bergman, Andrew (I)",20.9,183512473,4
22707,"Bergman, Ingmar",24.4,5647796,3
22862,"Berkeley, Busby",6.9,0,1
22912,"Berkowitz, Myles",4.8,536767,1
22953,"Berliner, Alain",12.5,3049582,2
22962,"Berlinger, Joe",8.2,0,1
23000,"Berman, Ted",13.4,44845680,2
23201,"Bernds, Edward (I)",5.6,0,1
23305,"Bernstein, Adam (I)",6.0,51617,1
23392,"Berri, Claude",29.4,9718892,4
23669,"Bertolucci, Bernardo",41.2,13665862,6
23861,"Besson, Luc",37.3,355246274,5
24036,"Betuel, Jonathan R.",5.6,4122748,1
24905,"Bierman, Robert",6.2,301360,1
24941,"Bigelow, Kathryn",14.1,11288307,2
25119,"Bill, Tony (I)",6.8,1626851,1
25259,"Bindler, S.R.",7.6,492876,1
25386,"Birch, Patricia",3.8,11045234,1
25398,"Bird, Antonia",18.8,21691159,3
25401,"Bird, Brad (I)",7.9,80000000,1
25470,"Birkin, Andrew",7.0,322975,1
25639,"Bishop, Larry",5.1,80026,1
25936,"Blaché, Herbert",6.2,0,1
26033,"Black, Noel",4.9,14049540,1
26244,"Blair, Jon (I)",7.6,1310200,1
26367,"Blake, Tessa (I)",7.5,4450,1
26381,"Blakemore, Michael",6.6,350354,1
26385,"Blakeney, Eric",5.4,1631839,1
26428,"Blanc, Michel (I)",6.4,551359,1
26617,"Blanks, Jamie",5.3,72527595,1
26695,"Blatty, William Peter",6.0,39024251,1
26706,"Blaustein, Barry W.",7.3,2047570,1
26832,"Blier, Bertrand",6.9,925952,1
26926,"Block, Doug (I)",6.3,0,1
27050,"Bloom, Jason",10.0,13427615,2
27051,"Bloom, Jeffrey (I)",4.1,0,1
27271,"Bluth, Don",39.8,256049685,6
27289,"Blyth, Jeff",5.7,8153677,1
27485,"Bochner, Hart",5.2,20951277,1
27603,"Bodrov, Sergey",7.5,661361,1
27802,"Bogdanovich, Peter",8.0,0,1
28247,"Bologna, Joseph",4.9,32925,1
28258,"Bolotin, Craig",5.5,5871603,1
28550,"Bonerz, Peter",3.6,10612345,1
28822,"Bont, Jan de",21.6,1186738886,4
28851,"Bonzel, André",7.5,205569,1
28945,"Boorman, John",46.5,97757476,7
29353,"Bornedal, Ole",6.1,1154237,1
29445,"Borris, Clay",3.9,0,1
29481,"Borsos, Phillip",12.3,24872460,2
29496,"Borthwick, Dave",7.1,69870,1
29531,"Borzage, Frank",6.6,0,1
30006,"Boughedir, Férid",6.9,0,1
30343,"Boutross, Tom",3.3,0,1
30533,"Bowers, George (I)",4.9,22587000,1
30642,"Bowman, Rob (I)",6.8,189198313,1
30888,"Boyko, Leonid",6.7,145443,1
30905,"Boyle, Danny",21.8,45968028,3
30972,"Boyum, Steve",3.4,4308981,1
31140,"Braddock, Reb",5.5,0,1
31334,"Brady, William A.",7.0,0,1
31460,"Brambilla, Marco (I)",11.4,115327206,2
31499,"Branagh, Kenneth",55.6,191839004,8
31542,"Brand, Joshua (I)",5.1,468240,1
31746,"Brannon, Ash",7.9,485015179,1
32106,"Breashears, David",7.1,127990128,1
32111,"Breathnach, Paddy",6.8,405297,1
32239,"Breillat, Catherine",5.3,1282941,1
32240,"Breiman, Valerie",6.0,546287,1
32371,"Brennan, Martin (III)",7.9,0,1
32490,"Brest, Martin",22.3,146915548,3
32715,"Brickman, Paul (I)",13.2,69612502,2
32758,"Bridges, James (I)",12.3,979547,2
32878,"Bright, Matthew (I)",6.7,295493,1
33163,"Brizzi, Gaëtan",7.1,90874570,1
33164,"Brizzi, Paul",7.1,90874570,1
33247,"Brock, Deborah",3.4,0,1
33317,"Broderick, Matthew (I)",6.0,145697,1
33332,"Brodie, Kevin",5.9,2148212,1
33534,"Brook, Peter (I)",7.1,0,1
33595,"Brooks, Albert (I)",12.6,27985364,2
33652,"Brooks, James L.",27.6,480873538,4
33684,"Brooks, Mel (I)",55.4,313906680,8
33698,"Brooks, Richard (I)",14.1,17570324,2
33750,"Broomfield, Nick",6.2,441808,1
33780,"Bross, Eric",5.9,9003,1
33849,"Brougher, Hilary",5.9,18195,1
33903,"Brower, Otto",6.9,0,1
34004,"Brown, Bruce (I)",22.1,2071091,3
34185,"Brown, J. Randolph",0.0,0,1
34572,"Browne, Chris (I)",5.6,40717,1
34623,"Browning, Tod",7.6,0,1
34642,"Brownrigg, S.F.",4.8,0,1
34695,"Bruce, James (I)",4.4,0,1
35022,"Bruno, John (I)",4.7,14010690,1
35075,"Brusati, Franco",7.2,0,1
35541,"Buck, Chris (II)",7.0,448191819,1
35655,"Bucquoy, Jan",5.6,0,1
35749,"Buechler, John Carl",4.9,19069488,1
35892,"Bui, Tony (I)",7.0,2019237,1
35982,"Bulbulian, Maurice",0.0,0,1
36373,"Burger, Hans (I)",0.0,0,1
36534,"Burke, Erik (I)",7.5,0,1
36634,"Burkin, Stuart",4.3,0,1
36738,"Burnett, Charles (I)",6.3,3313633,1
36822,"Burns, Edward (I)",18.1,19839092,3
36926,"Burr, Jeff (I)",4.8,5765562,1
37039,"Burstein, Nanette",7.0,47074,1
37083,"Burton, Geoff",7.0,766464,1
37121,"Burton, Tim (I)",58.6,1207770233,8
37181,"Buscemi, Steve",7.1,673269,1
37587,"Butler, Robert (I)",21.6,11466088,4
37612,"Butoy, Hendel",13.8,118806031,2
37677,"Buttgereit, Jörg",5.1,0,1
37738,"Buzby, Zane",3.9,0,1
37760,"Buñuel, Luis",14.8,4037017,2
37794,"Byer, Troy",3.5,417827,1
37951,"Byrum, John",6.3,6551987,1
38319,"Cabanne, Christy",6.0,0,1
38555,"Cadiff, Andy",4.7,10713605,1
38755,"Caiano, Mario",5.2,0,1
38775,"Caillier, Barry",5.4,0,1
38785,"Cain, Christopher (I)",20.4,87797319,4
39601,"Camerini, Mario",6.6,0,1
39629,"Cameron, James (I)",47.6,3295280440,6
39702,"Caminito, Augusto",5.2,0,1
39750,"Camp, Joe (I)",17.2,79542224,3
39776,"Campanella, Juan José",5.4,0,1
39944,"Campbell, Martin (I)",19.8,562605106,3
40066,"Campion, Anna",4.5,0,1
40070,"Campion, Jane",19.4,45609616,3
40434,"Cannon, Danny (I)",15.8,197538664,3
40775,"Caplan, Cathy",7.7,269823,1
40901,"Capra, Frank",56.5,1057444,7
41028,"Carax, Leos",7.4,117569,1
41236,"Cardone, J.S.",5.9,7394,1
41457,"Carlei, Carlo",6.3,3987649,1
41508,"Carlino, Lewis John",12.8,26370364,2
41759,"Carnahan, Joe",5.4,13674,1
41837,"Carné, Marcel",8.1,8200000,1
41852,"Caro, Marc",15.3,3307215,2
41886,"Caron, Glenn Gordon",10.8,52208854,2
41939,"Carpenter, John (I)",82.0,268171319,12
41969,"Carpenter, Stephen (I)",5.2,2407024,1
42095,"Carr, Steve (III)",5.6,57176582,1
42098,"Carr, Thomas (I)",0.0,0,1
42436,"Carroll, Willard (I)",7.0,3956212,1
42495,"Carson, David (I)",6.5,120000000,1
42738,"Carter, Thomas (II)",11.7,37619649,2
43319,"Cassavetes, John (I)",7.1,0,1
43320,"Cassavetes, Nick",12.4,7456679,2
43514,"Castellaneta, P.J. (I)",6.7,452654,1
43724,"Castle, Nick (I)",15.5,48939511,3
43728,"Castle, William",19.6,0,3
43862,"Castro, Rick",6.0,127251,1
44035,"Caton-Jones, Michael",13.0,170510560,2
44051,"Cattaneo, Peter",7.1,243957453,1
44257,"Cavani, Liliana",6.6,233471,1
45075,"Chabrol, Claude",21.4,864882,3
45120,"Chadha, Gurinder",6.4,735192,1
45158,"Chaffey, Don",6.1,4100000,1
45542,"Champion, Gregg (I)",5.4,20277185,1
45642,"Chan, Jackie (I)",13.8,15051055,2
45680,"Chan, Peter (I)",5.2,8276228,1
45741,"Chance, Tony (I)",7.4,0,1
45868,"Chaney, Lon",7.7,0,1
46148,"Chaplin, Charles",80.0,4880467,10
46170,"Chapman, Brenda (I)",6.8,218613188,1
46229,"Chapman, Michael (I)",5.0,1951794,1
46277,"Chappelle, Joe",9.8,20763732,2
46424,"Charlot, André",5.6,0,1
46648,"Chatiliez, Étienne",6.8,414736,1
46944,"Chechik, Jeremiah S.",28.7,206345566,5
47042,"Chelsom, Peter",20.5,7489130,3
47160,"Chen, Joan (I)",12.4,91091820,2
47164,"Chen, Kaige",21.8,7629855,3
47495,"Cherot, Christopher Scott",5.7,2301777,1
48211,"Chionglo, Mel",5.9,0,1
48629,"Cholodenko, Lisa",6.5,1929168,1
48676,"Chong, Tommy",6.8,41590893,1
48974,"Christensen, Carlos Hugo",0.0,0,1
49086,"Christian, Roger (I)",2.4,29725663,1
49233,"Christopher, Mark (I)",12.3,16761406,2
49615,"Chéreau, Patrice",13.8,2080997,2
49710,"Ciccoritti, Jerry",4.8,0,1
49834,"Cimino, Michael (I)",21.2,75023107,3
50126,"Clair, René",7.6,0,1
50232,"Clark, Bob (III)",26.6,192287931,5
50366,"Clark, Larry (I)",13.2,21025234,2
50572,"Clarke, Robert (I)",3.3,0,1
50691,"Clavell, James",7.5,42432803,1
50791,"Clayton, Jack (I)",22.1,5656087,3
50838,"Cleese, John",7.6,63493712,1
50873,"Clemens, William (I)",6.0,0,1
50946,"Clements, Ron",29.5,905247314,4
51033,"Clifford, Graeme",7.2,108488,1
51075,"Cline, Edward F.",14.4,28247,2
51115,"Clokey, Art",5.8,57100,1
51240,"Clément, René",7.7,618090,1
51400,"Cochran, Stacy",4.5,516350,1
51556,"Coen, Ethan",46.7,127172109,6
51557,"Coen, Joel",46.7,127172109,6
51757,"Cohen, Eli (I)",6.6,0,1
51827,"Cohen, Larry (I)",5.5,3014000,1
51892,"Cohen, Peter M.",4.2,4142507,1
51903,"Cohen, Rob (I)",17.2,298536999,3
51961,"Cohn, Alan",5.7,15062898,1
51993,"Cohn, Peter",6.0,0,1
52233,"Cole, Nigel",6.8,12115757,1
52329,"Coleman, Lionel",7.1,1205606,1
52463,"Collard, Cyril",6.8,662341,1
52776,"Collinson, Peter",5.9,283566,1
52778,"Collis, Adam",5.4,3926,1
52953,"Columbus, Chris",44.9,1742281179,7
53258,"Condon, Bill",12.4,20330415,2
53330,"Coninx, Stijn",7.5,0,1
53403,"Connell, Myles",5.7,581142,1
53429,"Connelly, Theresa",5.2,563143,1
53599,"Conrad, Mikel",4.5,0,1
53860,"Conway, Jack (I)",7.5,0,1
53910,"Cook, Barry (I)",7.3,236918403,1
54134,"Coolidge, Martha",18.3,47951683,3
54305,"Cooper, Merian C.",8.0,1700000,1
54501,"Coppola, Francis Ford",75.6,1045159226,10
54512,"Coppola, Sofia",7.2,10409377,1
54543,"Coraci, Frank",18.4,385673134,3
54595,"Corbiau, Gérard",6.7,2122948,1
54859,"Cormack, Robert",6.6,0,1
54863,"Corman, Roger",45.2,2000000,7
54934,"Cornell, John (I)",5.3,239700000,1
55048,"Corr, Eugene",6.5,161946,1
55156,"Corrente, Michael",17.9,8351202,3
55402,"Coscarelli, Don",24.3,17659472,4
55449,"Cosmatos, George P.",18.6,359060037,3
55590,Costa-Gavras,12.2,36372335,2
55703,"Costner, Kevin",19.7,706011611,3
55750,"Coto, Manny",5.1,7015240,1
55828,"Cottrell, William (I)",7.8,41634000,1
56116,"Couturié, Bill",2.4,6288000,1
56159,"Covert, Michael (III)",5.1,1910,1
56307,"Cox, Alex (I)",13.8,6576603,2
56497,"Cozzi, Luigi",5.2,0,1
56545,"Craft, Michael (I)",8.1,0,1
56774,"Craven, Wes",53.7,555732684,9
57086,"Crichton, Charles",14.2,63493712,2
57090,"Crichton, Michael",26.0,68656248,4
57135,"Crisp, Donald (I)",6.3,0,1
57144,"Crispino, Armando",5.7,0,1
57176,"Cristofer, Michael",4.8,239894,1
57285,"Croghan, Emma-Kate",5.8,212285,1
57290,"Croise, Hugh",7.4,0,1
57331,"Cromwell, John (I)",21.2,0,3
57348,"Cronenberg, David",41.9,98038764,6
57620,"Crowe, Cameron (I)",29.0,240258746,4
57941,"Crystal, Billy",11.9,46545857,2
57955,"Cs. Nagy, Sándor",5.3,0,1
58024,"Cuarón, Alfonso",14.2,52452351,2
58038,"Cube, Ice",5.0,23031390,1
58124,"Cuerda, José Luis",7.4,2086098,1
58206,"Cukor, George",55.2,489292232,7
58432,"Cundieff, Rusty",17.2,19589262,3
58545,"Cunningham, Sean S.",6.4,5816321,1
58613,"Curiel, Federico",4.3,0,1
58711,"Currier, Lavinia (I)",6.2,249682,1
58769,"Curtis, Dan (I)",6.1,0,1
58824,"Curtis-Hall, Vondie",6.8,5479037,1
58826,"Curtiz, Michael",44.7,1661267,6
58938,"Cutler, R.J.",6.8,48522,1
59455,"d'Arrast, Harry d'Abbadie",7.7,0,1
59798,"DaCosta, Morton",7.7,23300000,1
59933,"Dahl, John (I)",20.0,28188503,3
60456,"Damiani, Damiano",5.0,11328000,1
60979,"Dante, Joe (I)",38.3,319946774,6
61069,"Darabont, Frank",17.8,195301374,2
61090,"Darby, Jonathan (I)",4.9,13513622,1
61116,"Dardenne, Jean-Pierre",15.1,716195,2
61118,"Dardenne, Luc",15.1,716195,2
61210,"Darnell, Eric",6.6,152346554,1
61414,"Dash, Julie",5.8,1640678,1
61462,"Dassin, Jules",6.7,17351,1
61657,"Daves, Delmer",6.8,0,1
61738,"David, Larry (I)",5.5,219932,1
61820,"Davidson, Andrew (II)",7.7,0,1
61881,"Davidson, Martin (I)",5.7,0,1
62029,"Davies, Terence",6.0,27274,1
62087,"Davis, Andrew (I)",30.5,674957956,5
62189,"Davis, Desmond (I)",6.3,0,1
62310,"Davis, Julie (I)",5.4,33598,1
62363,"Davis, Michael (II)",6.0,26347,1
62374,"Davis, Mick (I)",6.0,0,1
62398,"Davis, Peter (II)",8.1,28287,1
62483,"Davis, Tamra",24.7,42867730,4
62974,"De Bello, John (I)",4.5,0,1
63214,"De Felitta, Raymond",7.1,1015055,1
63380,"de Heer, Rolf",13.7,172668,2
63876,"De Michiel, Helen",5.8,0,1
63936,"De Niro, Robert",7.7,17266971,1
63979,"de Oliveira, Manoel",12.4,52609,2
64003,"De Palma, Brian",53.2,854297736,8
64247,"de Seve, Mike",6.6,63071133,1
64253,"De Sica, Vittorio",31.2,929624,4
64303,"de Souza, Steven E.",3.5,105414729,1
64664,"Dear, William",17.3,87322106,3
64706,"DeBartolo, Tiffanie",5.8,0,1
64821,"DeCerchio, Tom",11.6,9405854,2
64905,"DeCoteau, David",5.5,12784,1
65079,"DeFranco, Rob (I)",4.2,0,1
65302,"Dekker, Fred",10.4,11287576,2
65543,"del Toro, Guillermo",12.5,26075579,2
65689,"Delannoy, Jean",6.9,0,1
65787,"DeLeon, Marcus",5.1,23567,1
66071,"Delman, Jeffrey",4.0,2750741,1
66373,"DeMille, Cecil B.",14.2,14000000,2
66413,"Demme, Jonathan",56.5,529027702,8
66414,"Demme, Ted",20.4,24230114,3
66481,"Demy, Jacques",7.7,18425,1
66577,"Denis, Claire",13.6,111015,2
66728,"Densham, Pen",6.2,3363968,1
66892,"Deramas, Wenn V.",6.2,0,1
67251,"DeSimone, Tom (I)",5.5,0,1
67488,"Deutch, Howard",36.3,216161463,6
67692,"DeVito, Danny",6.6,33084249,1
67866,"Dey, Tom (I)",6.5,99274467,1
68316,"Diamond, Matthew",7.4,240514,1
68584,"DiCillo, Tom",13.2,1396497,2
68638,"Dickerson, Ernest R.",17.9,49941001,3
68838,"Diem, Mike van",7.6,713413,1
68897,"Dieterle, William",14.2,0,2
69336,"Dindal, Mark",6.7,3562749,1
69438,"Dinner, Michael",5.4,13019253,1
69502,"Diop Mambéty, Djibril",6.9,0,1
69549,"Dippé, Mark A.Z.",5.1,87949859,1
69637,"Disney, Walt",7.6,0,1
69832,"Dizdar, Jasmin",6.2,261360,1
69968,"Dmytryk, Edward",27.8,1300000,4
70059,"Dobkin, David",6.4,1789892,1
70110,"Dobson, Kevin James",5.7,6029091,1
70352,"Doillon, Jacques",7.4,1351319,1
70519,"Domaradzki, Jerzy",7.0,1220,1
70782,"Donaldson, Roger",29.8,298799298,5
70851,"Donen, Stanley",47.8,18641027,7
70986,"Donner, Richard",90.4,1744550739,13
71009,"Donohue, Jack",6.0,0,1
71046,"Donovan, Martin (I)",5.9,0,1
71072,"Donsky, Seth Michael",5.5,0,1
71277,"Dorman, Joseph",6.9,47044,1
71330,"Dornhelm, Robert",5.6,0,1
71572,"Doueiri, Ziad",7.4,343229,1
71606,"Doughten Jr., Russell S.",6.3,0,1
71639,"Douglas, Gordon",7.2,0,1
71897,"Dowling, Kevin (I)",7.0,766464,1
71935,"Downey Sr., Robert",10.6,3620,2
72182,"Dragoti, Stan",6.2,64800000,1
72220,"Drake, Jim (II)",4.4,28061343,1
72319,"Drazan, Anthony",5.6,1796328,1
72493,"Dridi, Karim",7.0,0,1
72746,"Dryfoos, Susan Warms",7.2,0,1
72782,"Du Chau, Frederik",5.6,38117758,1
72800,"du Preez, Anton",0.0,0,1
73038,"Ducastel, Olivier",6.5,13936,1
73068,"Duchemin, Rémy",5.6,236090,1
73260,"Duffell, Peter",6.6,822650,1
73318,"Duffy, Troy",7.8,25812,1
73359,"Dugan, Dennis (I)",23.2,288810405,4
73409,"Dugowson, Martine",12.8,121134,2
73412,"Duguay, Christian (I)",18.5,36521053,3
73435,"Duigan, John (I)",38.1,8106517,6
73462,"Duke, Bill (I)",10.8,80780042,2
73705,"Duncan, Peter (II)",11.2,830608,2
73753,"Dunham, Duwayne",6.7,41833324,1
73908,"Dunne, Griffin",11.7,81389785,2
73929,"Dunning, George (II)",7.2,0,1
73950,"Dunsky, Evan",5.1,55986,1
74571,"Duvall, Robert",7.1,20733485,1
74629,"Dwan, Allan",0.0,0,1
74747,"Dyer, Julia",6.1,34891,1
74845,"Dzhordzhadze, Nana",6.6,603957,1
75052,"Dörrie, Doris",7.0,0,1
75298,"Eastwood, Clint",84.3,739666109,12
75375,"Eberhardt, Thom E.",6.2,14418922,1
75785,"Edmonds, Don (I)",5.1,0,1
75895,"Edwards, Blake (I)",40.9,127518963,6
75922,"Edwards, David (I)",8.1,0,1
75955,"Edwards, Henry (I)",0.0,0,1
76326,"Egoyan, Atom",21.7,8255883,3
76647,"Eisenstein, Sergei M.",8.0,50970,1
77032,"Elders, Kevin",2.3,292152,1
77100,"Elfont, Harry",6.3,25339117,1
77354,"Ellin, Doug (I)",8.7,5266585,2
77403,"Elliott, Aiyana",7.4,221893,1
77481,"Elliott, Scott (II)",6.5,544538,1
77485,"Elliott, Stephan",17.4,27554175,3
77506,"Elliotte, John",7.3,0,1
77536,"Ellis, David R.",5.5,32709423,1
77728,"Elorrieta, Javier",4.2,0,1
78050,"Emmerich, Roland",31.7,1607545527,5
78412,"English, John (I)",6.7,0,1
78431,"Englund, George (I)",5.3,0,1
78464,"Enlen, Martin",7.2,0,1
78540,"Enríquez Alcalá, Félix",4.6,20228448,1
78594,"Enyedi, Ildikó",5.9,0,1
78623,"Ephron, Nora",23.5,445774852,4
78703,"Epstein, Rob (I)",7.6,1507800,1
79752,"Estevez, Emilio",12.2,5749542,2
80051,"Evans, Brian (II)",5.4,0,1
